relation	pattern
hasAcademicAdvisor	was seen [[adj]];
hasAcademicAdvisor	be seen;
hasAcademicAdvisor	be seen in;
hasAcademicAdvisor	[[adj]] seen at;
hasAcademicAdvisor	first seen in;
hasAcademicAdvisor	[[adj]] seen;
hasAcademicAdvisor	[[con]] seen;
hasAcademicAdvisor	was seen as;
hasAcademicAdvisor	been seen;
hasAcademicAdvisor	seen since;
hasAcademicAdvisor	later seen;
hasAcademicAdvisor	is seen as;
hasAcademicAdvisor	as seen;
hasAcademicAdvisor	is seen;
hasAcademicAdvisor	never seen;
hasAcademicAdvisor	be seen as;
hasAcademicAdvisor	[[adj]] seen by;
hasAcademicAdvisor	also seen;
hasAcademicAdvisor	also seen [[det]];
hasAcademicAdvisor	had seen [[det]];
hasAcademicAdvisor	that seen;
hasAcademicAdvisor	been seen with;
hasAcademicAdvisor	had seen [[con]];
hasAcademicAdvisor	is seen with;
hasAcademicAdvisor	received from supervised by;
hasAcademicAdvisor	had spent;
hasAcademicAdvisor	spent as;
hasAcademicAdvisor	[[con]] spent;
hasAcademicAdvisor	spent [[con]];
hasAcademicAdvisor	spent on;
hasAcademicAdvisor	that spent;
hasAcademicAdvisor	where spent;
hasAcademicAdvisor	[[adj]] spent;
hasAcademicAdvisor	[[det]] friendship with;
hasAcademicAdvisor	[[adj]] friendship;
hasAcademicAdvisor	[[con]] friendship;
hasAcademicAdvisor	[[adj]] friendship with;
hasAcademicAdvisor	friendship with;
hasAcademicAdvisor	[[prp]] friendship with;
hasAcademicAdvisor	s friendship with;
hasAcademicAdvisor	[[prp]] friendship;
hasAcademicAdvisor	studied mathematics [[con]] physics;
hasAcademicAdvisor	earned [[prp]] doctorate;
hasAcademicAdvisor	completed [[prp]] doctorate;
hasAcademicAdvisor	completed [[det]] doctorate;
hasAcademicAdvisor	which shared;
hasAcademicAdvisor	also shared;
hasAcademicAdvisor	had shared [[num]];
hasAcademicAdvisor	[[con]] shared;
hasAcademicAdvisor	shared [[det]];
hasAcademicAdvisor	shared [[num]];
hasAcademicAdvisor	shared [[adj]];
hasAcademicAdvisor	which shared with;
hasAcademicAdvisor	[[con]] shared with;
hasAcademicAdvisor	has shared;
hasAcademicAdvisor	had shared with;
hasAcademicAdvisor	shared [[con]];
hasAcademicAdvisor	has shared [[det]];
hasAcademicAdvisor	shared with;
hasAcademicAdvisor	that shared;
hasAcademicAdvisor	also shared with;
hasAcademicAdvisor	vol;
hasAcademicAdvisor	succeeded;
hasAcademicAdvisor	joined [[det]] [[adj]] group with;
hasAcademicAdvisor	joined [[det]] group [[con]];
hasAcademicAdvisor	joined [[det]] [[adj]] group of;
hasAcademicAdvisor	joined group;
hasAcademicAdvisor	joined [[det]] group [[adj]];
hasAcademicAdvisor	joined [[det]] [[adj]] group along;
hasAcademicAdvisor	joined [[det]] group with;
hasAcademicAdvisor	joined [[det]] group;
hasAcademicAdvisor	joined [[det]] group of;
hasAcademicAdvisor	involved [[con]];
hasAcademicAdvisor	been involved with;
hasAcademicAdvisor	was involved [[con]];
hasAcademicAdvisor	that involved;
hasAcademicAdvisor	involved with;
hasAcademicAdvisor	became involved;
hasAcademicAdvisor	was involved by;
hasAcademicAdvisor	became involved after;
hasAcademicAdvisor	become involved in;
hasAcademicAdvisor	later involved with;
hasAcademicAdvisor	be involved;
hasAcademicAdvisor	became involved [[con]];
hasAcademicAdvisor	also involved by;
hasAcademicAdvisor	is involved;
hasAcademicAdvisor	was involved when;
hasAcademicAdvisor	was involved to;
hasAcademicAdvisor	involved as;
hasAcademicAdvisor	become involved;
hasAcademicAdvisor	was involved in;
hasAcademicAdvisor	was involved;
hasAcademicAdvisor	becomes involved in;
hasAcademicAdvisor	involved in;
hasAcademicAdvisor	which involved;
hasAcademicAdvisor	became involved as;
hasAcademicAdvisor	was involved [[det]];
hasAcademicAdvisor	was involved with;
hasAcademicAdvisor	get involved;
hasAcademicAdvisor	also involved as;
hasAcademicAdvisor	been involved by;
hasAcademicAdvisor	been involved;
hasAcademicAdvisor	not involved;
hasAcademicAdvisor	also involved;
hasAcademicAdvisor	[[con]] involved;
hasAcademicAdvisor	involved [[pro]];
hasAcademicAdvisor	becomes involved with;
hasAcademicAdvisor	become involved with;
hasAcademicAdvisor	been involved [[con]];
hasAcademicAdvisor	more involved;
hasAcademicAdvisor	is involved [[con]];
hasAcademicAdvisor	became involved with;
hasAcademicAdvisor	[[det]] account of;
hasAcademicAdvisor	[[adj]] account;
hasAcademicAdvisor	s account of;
hasAcademicAdvisor	[[adj]] account of;
hasAcademicAdvisor	[[adj]] account in;
hasAcademicAdvisor	account [[con]];
hasAcademicAdvisor	s account [[det]];
hasAcademicAdvisor	s account [[con]];
hasAcademicAdvisor	s account;
